Profil,Lieu_de_recherche,Disponibilité,Points_forts,Expérience,Compétence
Ingénieur optique - data scientist,France entière,immédiate,"Faire preuve de rigueur et de précision
Data Science
Intelligence artificielle
Programmation en Python
Anglais","
Data scientist

|
Bac+5 et plus ou équivalents","Intelligence artificielle
(Avancé)
Langages de programmation informatique
(Intermédiaire)
Modélisation et simulation
(Intermédiaire)
Programmation en Python
(Avancé)"
Data Analyst/ Scientist/Consultant Fonctionnel Dynamics 365/,France entière,immédiate,"Analyser, exploiter, structurer des données
Analyser les données d'une étude, d'un projet
Élaborer des solutions techniques et fonctionnelles
Réaliser un modèle de prévision","
Technicien de maintenance industrielle
","Coordonner le déroulement d'une étude
(Intermédiaire)
Élaborer des solutions techniques et fonctionnelles
(Avancé)
Établir un rapport d'étude ou de recherche
(Intermédiaire)
Procéder à des tests, expérimentations
(Avancé)
Réaliser une étude
(Avancé)
Réaliser une étude quantitative
(Avancé)"
data scientist,France entière,immédiate,,"
ingénieur IA

|
Groupe COVEA (Niort, France)","Algorithmique
(Avancé)
Déploiement de services cloud (cloud computing)
(Intermédiaire)
Intelligence artificielle
(Intermédiaire)
Java
(Débutant)
Programmation en Python
(Avancé)"
Data engineer,France entière,immédiate,,"
MSc BIHAR (Big Data Intelligence for Human Augmented Reality) 

|
Bac+5 et plus ou équivalents","Application des méthodes de machine learning dans BI
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Déploiement de services cloud (cloud computing)
(Avancé)
Gestion de bases de données NoSQL
(Avancé)
Gestion de données
(Avancé)
HDL/VHDL
Oracle
(Intermédiaire)
PL/SQL
(Avancé)
Pratique du hippisme
Progiciel de gestion Sage X3
(Avancé)
Programmation en Python
(Intermédiaire)
Système de Gestion de Bases de Données (SGBD)
(Avancé)
Technologies HADOOP
(Avancé)"
Data Scientist - Analyst - IA,France entière,immédiate,"Machine learning
MySQL
Python
R
Spark, SaprkR, Pyspark","
Consultant

|
Ausy (Sophia-Antipolis Nice)","Algorithmique
Analyse de données expérimentales
(Avancé)
Application des méthodes de machine learning dans BI
(Avancé)
Big data Analytics
(Avancé)
Conception de programmes de formation
(Avancé)
Économétrie
Gestion de versions de logiciels de jeux
(Avancé)
Informatique
(Avancé)
Langages de programmation informatique
(Avancé)
Logiciel de traitement de texte
(Avancé)
Logiciels de gestion de base de données
(Avancé)
Logique mathématique
Microsoft SQL Server
(Avancé)
Modélisation et simulation
(Avancé)
Modélisation statistique
Programmation en Python
(Avancé)
Sciences économiques et sociales
Sciences et techniques de l'ingénieur
(Avancé)
Système d'exploitation Linux
Technologies HADOOP
(Intermédiaire)
Utilisation de logiciels de tableur
(Avancé)
Utilisation de logiciels statistiques
(Avancé)"
Data Analyst,France entière,immédiate,"Faire preuve d'autonomie
Faire preuve de curiosité
Faire preuve de réactivité
Faire preuve de rigueur et de précision","
Data Analyst / Data Engineer

|
AZ Analytics (Courrensan)","Adapter les outils de traitement statistique de données
(Avancé)
Créer une documentation technique
(Avancé)
Développer une application en lien avec une base de données
(Intermédiaire)
Développer un logiciel, un système d'informations, une application
(Intermédiaire)
Réaliser des études et développements informatiques
(Avancé)"
"Data analyst, Data scientist, Data manager, Statisticien, Chargé d'études",France entière,immédiate,,"
Chargé d'études

|
ipsos (gentilly)","Adapter les outils de traitement statistique de données
(Intermédiaire)
Analyser, exploiter, structurer des données
(Intermédiaire)
Définir et faire évoluer des procédés de traitement de l'information"
"Docteur en Pharmacie d'officine, Ingénieur informaticien, chef de projet esanté, Data Scientist",France entière,immédiate,"Être à l'écoute, faire preuve d'empathie
Faire preuve d'autonomie
Prendre des initiatives et être force de proposition
Prendre une décision et l'expliquer
S'adapter aux changements","
Chef de projet en intelligence artificielle

|
Bac+5 et plus ou équivalents","Analyse de données expérimentales
Architecture web
(Intermédiaire)
Argumentation commerciale
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
Gestion administrative
(Débutant)
Homéopathie
(Avancé)
Médicaments cytotoxiques
Pharmacologie
Pharmacovigilance
(Débutant)
Phytothérapie
(Avancé)"
"Très passionnée par l’ingénierie des données, axée sur les résultats, experte en extraction d’insights exploitables et en traitement et analyse des données. Data Engineer/Analyst/BI Consultant",France entière,immédiate,,"
Data & Analytics Engineer

|
 (France-Paris)","Application des méthodes de machine learning dans BI
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
CSS
(Avancé)
Déploiement de services cloud (cloud computing)
(Avancé)
Docker
(Avancé)
Gestion de bases de données NoSQL
(Avancé)
Gestion de données
Gestion des incidents
(Avancé)
HTML
(Avancé)
Information Technology Infrastructure Library (ITIL)
(Avancé)
Java
(Avancé)
JIRA
(Avancé)
JQuery
(Avancé)
Logique mathématique
Microsoft Exchange Server
Microsoft SQL Server
MySQL
Oracle
PHP
Pratique du basket-ball
Programmation en Python
Scala
Script Shell
Système d'exploitation Unix
Systèmes de gestion de base de données
(Avancé)
Techniques de négociation avancées
Techniques de résolution de problèmes
(Avancé)
Technologies SPARK (Framework)"
Data Analyste,France entière,immédiate,Anglais,"
Développeuse back-end (Paris code)
","Entretenir, nettoyer un espace, un lieu, un local
Entretenir un équipement, une machine, une installation
Essuyer et ranger la vaisselle, la verrerie, les ustensiles de cuisine
Nettoyer une salle de réception
Surveiller les lieux et les biens et faire appliquer le règlement intérieur par les résidents, locataires, visiteurs"
Data Engeneer,France entière,immédiate,,"
Ingénieur d'études | Data engineer

|
Alten (Arcueil, Val-de-Marne, France)",Concevoir un site web
Ingénieur Data Science & Cloud Computing,France entière,immédiate,"ai générative
Déploiement de services cloud (cloud computing)
Machine Learning et DevOps
NLP
Programmation en Python","
Data Scientist Intern

|
Assystem EOS (Courbevoie, France)","Application des méthodes de machine learning dans BI
(Avancé)
Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Déploiement de services cloud (cloud computing)
(Avancé)
Docker
(Avancé)
Gestion de bases de données NoSQL
(Avancé)
GitLab
(Avancé)
Java
(Avancé)
Kubernetes
(Avancé)
Programmation en Python
(Avancé)"
Data analyst / Doc controller,France entière,immédiate,"Organiser son travail selon les priorités et les objectifs
Sélectionner des informations documentaires
Travailler en équipe
Contrôler des données qualité
Piloter une démarche qualité, un processus d'amélioration continue","
Google Data Analytics Certificat Professionnel
","Algorithmique
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Démarche qualité
Gestion des fonds documentaires
Langages de programmation informatique
(Intermédiaire)
Logiciel de traitement de texte
(Avancé)
Modélisation et simulation
(Intermédiaire)
Utilisation de logiciels de tableur
(Intermédiaire)"
recherche poste de Data Analyste,France entière,immédiate,,"
PROJETS DATA

|
analyse sur la mise sur le marche d'un produit d'épargne client (Brunoy)","Algorithmique
Big data Analytics
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
Comptabilité analytique
(Avancé)
Comptabilité générale
(Avancé)
Conception et analyse d'enquête
(Avancé)
Développement économique
Économie du développement durable
Gestion administrative
Gestion budgétaire
(Avancé)
Gestion de bases de données NoSQL
(Intermédiaire)
Gestion de l'information
Gestion des relations clientèle
Intelligence économique
Logiciel de traitement de texte
(Avancé)
Logiciels de gestion de base de données
(Avancé)
Modélisation et simulation
(Intermédiaire)
Programmation en Python
(Intermédiaire)
Sciences économiques et sociales
Suite bureautique - LibreOffice
(Avancé)
Utilisation de logiciels de tableur
(Avancé)
Utilisation de logiciels statistiques
(Intermédiaire)"
Data Scientist / Analyst à la recherche d'une opportunité afin d'appliquer mes connaissances acquises pendant mon parcours professionnel.,France entière,immédiate,,"
Data Scientist

|
IFSTTAR (Champs-sur-marne)","Application des méthodes de machine learning dans BI
(Avancé)
Gestion de bases de données NoSQL
(Intermédiaire)
Microsoft Excel
(Avancé)
Programmation en Python
(Avancé)"
Data Scientist / Data Engineer,France entière,immédiate,,"
MASTER EN SCIENCE ET INGÉNIERIE DES DONNÉES

|
Bac+5 et plus ou équivalents","Algorithmique
Analyse de données expérimentales
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Conception et analyse d'enquête
Langages de programmation informatique
Logiciels de gestion de base de données
Modélisation et simulation
Utilisation de logiciels statistiques"
Data Scientist/Data Analyst Junior en recherche d'une alternance ou d'un 1er poste en tant que Junior,France entière,immédiate,"Modélisation statistique
Programmation en Python
SQL
Anglais","
Master Biologie

|
Bac+5 et plus ou équivalents","Biologie
Botanique
Caractéristiques des écosystèmes
Écologie
Gestion administrative
Logiciels de gestion de base de données
Modélisation statistique
Programmation en Python
Système d'Information Géographique (SIG)
Techniques de mémorisation"
CDI/CDD – Data Scientiste/ Analyste,France entière,immédiate,"anglais
Gestion de bases de données NoSQL
Programmation en Python
Visual Basic for Applications (VBA)","
Data Analyste/ Data Scientiste/ Data Engineer

|
AXA Partners (Paris)","Gestion de bases de données NoSQL
(Avancé)
Programmation en Python
(Avancé)
Visual Basic for Applications (VBA)
(Avancé)"
"Diplômé en M2 Statistique et Data science en 2023, passionné par le traitement de données et le développement informatique, consultant en analyse et développement Cobol chez Amaris consulting.",France entière,immédiate,"Adapter les outils de traitement statistique de données
Analyser, exploiter, structurer des données
Langages de programmation informatique
Modélisation statistique","
Formation de reconversion en développement informatique Csharp et Cobol
","Application des méthodes de machine learning dans BI
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
Gestion de bases de données NoSQL
(Intermédiaire)
Langages de programmation informatique
Modélisation statistique
Progiciel de gestion SAS Statistiques
(Intermédiaire)
Programmation en Python
(Avancé)
Service de conciergerie
Techniques d'exploration de données (data mining)
(Avancé)"
Data Scientist,France entière,immédiate,"Analyser, exploiter, structurer des données
Application des méthodes de machine learning dans BI
Modélisation et simulation
python
Réaliser un modèle de prévision","
Data Scientist

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe","Analyse de données expérimentales
Application des méthodes de machine learning dans BI
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Conception et analyse d'enquête
Langages de programmation informatique
Logiciels de gestion de base de données
Modélisation et simulation
Modélisation statistique
Sciences économiques et sociales"
Data Analyst | Business Analyst | Data Product Owner (+2 ANS D’EXPÉRIENCE),France entière,immédiate,"Algorithmique
Analyse de données expérimentales
Logiciels de gestion de base de données
Marketing / Mercatique
Méthodologie Scrum","
Data Analyst

|
Bac+5 et plus ou équivalents","Algorithmique
Analyse de données expérimentales
Application des méthodes de machine learning dans BI
Business Intelligence (BI) / Informatique décisionnelle
Conception et analyse d'enquête
Gestion des relations clientèle
Logiciels de gestion de base de données
Modélisation statistique
Progiciels de gestion intégrée d'entreprise (ERP)
Utilisation de logiciels statistiques"
Data Engineer,France entière,immédiate,"Analyser, exploiter, structurer des données
Anglais technique
Gérer et maitriser des bases de données (SQL/NoSQL)
Programmation en Python
Redshift","
Stagiaire Data Engineer

|
Showroomprivé (Saint-Denis)","Anglais technique
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Déploiement de services cloud (cloud computing)
Gestion de bases de données NoSQL
Gestion de données
Gestion de versions de logiciels de jeux
Langages de programmation informatique
Maîtrise d'un outil de gestion de flux (Kafka, Flink…)
MySQL
Pratique du hippisme
Programmation en Python
Scala
Script Shell
Sécurité physique des datacenters
SharePoint
Sybase
Système d'exploitation Linux
Technologies HADOOP
Technologies SPARK (Framework)
Web dynamique"
